ms_zoning,lot_frontage,street,land_contour,overall_qual,roof_matl,exterior_1st,mas_vnr_type,mas_vnr_area,foundation,bsmt_qual,bsmt_exposure,bsmtfin_sf_1,heating,heating_qc,central_air,gr_liv_area,full_bath,fireplace_qu,garage_type,garage_finish,garage_area,wood_deck_sf,open_porch_sf,sale_type,saleprice,age_built,age_remod,total_sf,open_lot,common_lot,closed_lot,near_park,near_road
RL,79.0,Pave,Lvl,6,CompShg,BrkFace,None,0.0,CBlock,3,2,655.0,GasA,5,Y,1194,1,2,BuiltIn,3,539.0,0,0,WD ,159500,47,47,1849.0,False,True,False,False,False
RM,24.0,Pave,Lvl,7,CompShg,VinylSd,Stone,50.0,PConc,4,1,0.0,GasA,5,Y,1709,2,0,Detchd,1,380.0,0,40,WD ,137500,2,2,2679.0,False,True,False,False,False
RL,73.0,Pave,Lvl,7,CompShg,VinylSd,BrkFace,228.0,PConc,4,3,0.0,GasA,5,Y,1616,2,0,Attchd,2,834.0,208,59,WD ,232000,1,1,3232.0,False,True,False,False,False
RM,69.05520046484602,Grvl,Lvl,6,CompShg,Stucco,None,0.0,BrkTil,3,1,0.0,GasA,3,Y,768,1,0,Detchd,1,440.0,0,0,WD ,93850,78,58,1536.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,5,CompShg,BrkFace,Stone,65.0,BrkTil,3,1,0.0,GasA,2,N,872,1,4,Detchd,1,322.0,0,0,WD ,105000,82,56,1744.0,False,True,False,False,False
RM,60.0,Pave,Lvl,4,CompShg,MetalSd,None,0.0,BrkTil,3,1,0.0,GasA,2,N,520,1,0,Detchd,1,240.0,49,0,WD ,68500,81,58,1040.0,False,True,False,False,True
RL,80.0,Pave,Lvl,5,CompShg,MetalSd,BrkFace,361.0,CBlock,3,1,443.0,GasA,3,Y,2274,2,0,Detchd,1,480.0,0,0,WD ,154300,50,50,3379.0,False,True,False,False,False
RM,50.0,Pave,Lvl,5,CompShg,VinylSd,None,0.0,BrkTil,3,1,0.0,GasA,5,Y,1601,2,0,NA,0,0.0,0,0,WD ,129850,82,4,2537.0,False,True,False,False,False
RM,35.0,Pave,Lvl,5,CompShg,MetalSd,None,0.0,BrkTil,3,1,168.0,GasA,5,Y,1232,1,0,Detchd,1,480.0,280,0,WD ,114000,97,57,1848.0,False,True,False,False,False
RL,63.0,Pave,Lvl,9,CompShg,VinylSd,Stone,748.0,PConc,5,1,1904.0,GasA,5,Y,2234,2,4,Attchd,3,1166.0,0,60,New,501837,1,0,4450.0,False,False,True,False,False
RM,100.0,Pave,Lvl,5,CompShg,Wd Sdng,None,0.0,BrkTil,3,2,0.0,GasA,4,Y,1416,1,4,Detchd,1,720.0,418,0,WD ,153900,93,58,2292.0,False,True,False,False,False
RL,60.0,Pave,Lvl,4,CompShg,VinylSd,None,0.0,CBlock,3,1,240.0,GasA,4,Y,864,1,0,Detchd,1,576.0,200,0,WD ,130000,38,3,1728.0,False,True,False,False,False
RM,32.0,Pave,Lvl,6,CompShg,VinylSd,BrkFace,197.0,PConc,5,1,864.0,GasA,5,Y,1189,2,0,Attchd,2,392.0,0,122,WD ,160500,11,11,2378.0,False,True,False,False,False
RL,48.0,Pave,Lvl,9,CompShg,MetalSd,BrkFace,572.0,PConc,5,1,415.0,GasA,5,Y,1666,2,4,Attchd,2,575.0,228,75,New,310090,0,0,3332.0,False,True,False,False,False
RL,67.0,Pave,Lvl,7,CompShg,VinylSd,None,0.0,PConc,4,1,833.0,GasA,5,Y,1200,2,0,Attchd,2,555.0,0,41,WD ,184900,6,6,2376.0,False,True,False,False,False
RL,70.0,Pave,Lvl,5,CompShg,Wd Sdng,None,0.0,CBlock,4,1,377.0,GasA,3,Y,928,1,0,Attchd,1,252.0,261,0,WD ,132000,51,7,1856.0,False,True,False,False,False
RL,80.0,Pave,Lvl,5,CompShg,HdBoard,BrkFace,128.0,CBlock,4,2,553.0,GasA,3,Y,1336,2,2,Attchd,2,502.0,312,11,WD ,163000,40,40,2624.0,False,True,False,False,False
Others,30.0,Pave,Lvl,7,CompShg,MetalSd,BrkFace,120.0,PConc,4,3,280.0,GasA,5,Y,1200,2,0,Detchd,2,480.0,0,172,ConLD,155000,6,6,1800.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,6,CompShg,MetalSd,None,0.0,CBlock,3,3,828.0,GasA,4,Y,1427,2,0,Attchd,2,516.0,0,0,WD ,183000,39,39,2854.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,7,CompShg,VinylSd,BrkFace,254.0,PConc,4,2,762.0,GasA,5,Y,1992,2,3,Attchd,2,608.0,225,32,WD ,211000,11,5,2852.0,False,True,False,False,False
RL,70.0,Pave,Lvl,7,CompShg,VinylSd,None,0.0,PConc,4,1,36.0,GasA,5,Y,1540,2,0,Attchd,2,495.0,140,32,WD ,184000,15,15,2294.0,False,True,False,False,False
RL,64.0,Pave,Bnk,5,CompShg,HdBoard,None,0.0,Slab,0,0,0.0,GasA,3,Y,1535,2,0,Attchd,1,400.0,0,0,WD ,118858,30,30,1535.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,5,CompShg,Wd Sdng,BrkFace,86.0,PConc,3,3,1014.0,GasA,3,Y,1152,1,4,Attchd,2,484.0,227,0,WD ,180500,46,46,2304.0,False,True,False,False,False
Others,80.0,Pave,Lvl,8,CompShg,VinylSd,Stone,30.0,PConc,4,1,60.0,GasA,5,Y,1151,2,0,Attchd,3,484.0,0,60,New,166000,1,0,2292.0,False,True,False,False,False
RL,88.0,Pave,Lvl,6,CompShg,Wd Sdng,BrkFace,54.0,CBlock,3,3,588.0,GasA,5,Y,1138,1,3,Attchd,2,480.0,0,0,COD,148000,49,49,2276.0,False,True,False,False,False
RL,74.0,Pave,Lvl,5,CompShg,Wd Sdng,None,0.0,CBlock,3,1,438.0,GasA,4,Y,1074,1,4,Detchd,1,396.0,0,72,WD ,124000,51,51,1968.0,False,True,False,False,False
RL,60.0,Pave,Lvl,9,CompShg,MetalSd,BrkFace,246.0,PConc,5,1,1153.0,GasA,5,Y,1561,2,4,Attchd,3,556.0,203,47,WD ,277500,2,2,3122.0,False,True,False,False,False
RL,83.0,Pave,Lvl,8,CompShg,VinylSd,BrkFace,397.0,PConc,4,1,527.0,GasA,5,Y,2726,2,5,Attchd,2,725.0,307,169,WD ,350000,11,11,4068.0,False,True,False,False,False
RL,53.0,Pave,HLS,9,CompShg,VinylSd,BrkFace,296.0,PConc,5,4,1337.0,GasA,5,Y,1884,2,4,Attchd,3,670.0,214,76,WD ,387000,4,4,3768.0,False,False,True,False,False
RL,58.0,Pave,Lvl,4,CompShg,Wd Sdng,None,0.0,BrkTil,3,2,348.0,GasA,5,Y,605,1,0,NA,0,0.0,0,0,WD ,86000,87,5,1133.0,False,True,False,False,False
RL,103.0,Pave,Lvl,8,CompShg,VinylSd,None,0.0,CBlock,4,2,1044.0,GasA,5,Y,1671,3,4,Attchd,2,550.0,280,90,WD ,290000,32,1,3097.0,False,True,False,False,False
Others,72.0,Pave,Lvl,3,CompShg,AsbShng,None,0.0,CBlock,2,1,0.0,GasA,3,N,797,1,0,NA,0,0.0,0,36,WD ,44000,109,59,1042.0,False,True,False,False,False
RL,71.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,PConc,5,1,690.0,GasA,5,Y,1961,2,3,BuiltIn,3,560.0,125,192,WD ,215000,8,7,2765.0,False,False,True,False,False
RL,79.0,Pave,Lvl,5,CompShg,Plywood,BrkFace,144.0,CBlock,4,1,962.0,GasA,5,Y,1193,2,0,Attchd,3,501.0,140,153,WD ,146500,34,34,2346.0,False,True,False,False,True
Others,69.05520046484602,Pave,Lvl,7,CompShg,MetalSd,None,0.0,PConc,4,1,641.0,GasA,5,Y,1382,2,0,Detchd,1,490.0,153,50,WD ,165000,6,6,2055.0,False,True,False,False,False
RM,60.0,Pave,Lvl,6,CompShg,Stucco,None,0.0,BrkTil,3,1,168.0,GasW,3,N,2526,2,4,Detchd,1,216.0,88,15,CWD,136000,91,57,3240.0,False,True,False,False,False
RL,69.05520046484602,Pave,Low,6,CompShg,Wd Sdng,Stone,902.0,CBlock,4,4,1110.0,GasA,5,Y,1390,1,4,Attchd,1,550.0,0,189,WD ,252000,49,49,3095.0,False,False,True,False,False
RL,36.0,Pave,Lvl,7,CompShg,VinylSd,Stone,106.0,PConc,4,1,0.0,GasA,5,Y,1626,2,0,BuiltIn,2,474.0,0,27,WD ,175500,7,7,2390.0,False,True,False,False,False
RM,57.0,Pave,Lvl,5,CompShg,Wd Sdng,None,0.0,BrkTil,3,1,421.0,GasA,3,Y,1558,1,4,Detchd,1,400.0,0,36,WD ,150000,70,59,2248.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,5,CompShg,Wd Sdng,None,0.0,CBlock,3,1,0.0,GasA,3,Y,1422,1,3,Attchd,2,286.0,0,0,WD ,139900,47,29,2400.0,False,True,False,False,False
RM,52.0,Pave,Lvl,5,CompShg,MetalSd,None,0.0,PConc,3,1,0.0,GasA,3,Y,1573,2,4,Detchd,1,360.0,0,0,WD ,162900,78,16,2651.0,False,True,False,False,False
RL,87.0,Pave,Lvl,6,CompShg,Wd Sdng,BrkFace,261.0,CBlock,3,1,0.0,GasA,3,Y,1116,1,0,Attchd,1,440.0,0,0,WD ,160000,48,48,2232.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,2,CompShg,Wd Sdng,None,0.0,Slab,0,0,0.0,GasA,2,N,660,1,0,NA,0,0.0,0,0,WD ,63900,62,59,660.0,False,True,False,False,False
RL,80.0,Pave,Lvl,6,CompShg,HdBoard,BrkFace,144.0,PConc,3,1,832.0,GasA,4,Y,1707,2,3,Attchd,3,479.0,0,0,WD ,184000,31,11,2847.0,False,True,False,False,False
RL,134.0,Pave,Lvl,5,CompShg,HdBoard,BrkFace,132.0,CBlock,3,1,176.0,GasA,3,Y,1466,1,4,Attchd,3,528.0,0,140,WD ,149900,47,47,2932.0,False,True,False,False,False
Others,69.05520046484602,Pave,Lvl,9,CompShg,MetalSd,BrkFace,260.0,PConc,4,3,1027.0,GasA,5,Y,1638,2,3,Attchd,3,495.0,230,68,WD ,300000,8,8,3252.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,5,Tar&Grv,Plywood,Stone,275.0,CBlock,3,2,988.0,GasA,4,Y,1721,2,3,Basment,1,626.0,50,84,WD ,145000,48,48,2709.0,False,True,False,False,False
RL,65.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,PConc,4,1,821.0,GasA,5,Y,1764,2,0,Attchd,2,470.0,276,99,WD ,231500,12,12,2692.0,False,True,False,False,False
RL,63.0,Pave,Lvl,5,CompShg,WdShing,None,0.0,CBlock,3,1,290.0,GasA,5,Y,996,1,4,NA,0,0.0,144,0,WD ,108000,68,39,1992.0,False,True,False,False,False
RL,70.0,Pave,Lvl,5,CompShg,BrkFace,None,0.0,CBlock,3,1,435.0,GasA,3,Y,1202,1,0,Attchd,2,304.0,0,35,COD,120000,53,53,2404.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,5,CompShg,Wd Sdng,BrkFace,57.0,CBlock,3,1,827.0,GasA,3,Y,988,1,0,Detchd,1,572.0,0,0,WD ,128500,46,46,1976.0,False,True,False,False,False
RM,56.0,Pave,Lvl,5,CompShg,WdShing,None,0.0,CBlock,3,1,0.0,GasA,4,Y,1028,1,4,Detchd,1,360.0,0,0,WD ,115000,83,60,2036.0,False,True,False,False,False
RM,50.0,Pave,Lvl,5,CompShg,AsbShng,None,0.0,CBlock,3,1,312.0,GasA,3,Y,1284,1,0,Detchd,1,240.0,0,35,WD ,110000,62,59,2004.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,9,CompShg,Wd Sdng,BrkFace,1050.0,CBlock,4,1,410.0,GasA,3,Y,2944,2,4,Attchd,2,864.0,140,70,WD ,150000,31,31,3938.0,False,False,True,False,False
RL,74.0,Pave,Lvl,8,CompShg,VinylSd,None,0.0,PConc,5,3,0.0,GasA,5,Y,1414,2,4,Attchd,3,403.0,100,35,WD ,178000,2,2,2121.0,False,True,False,False,False
