lot_frontage,overall_qual,mas_vnr_area,bsmt_qual,bsmt_exposure,bsmtfin_sf_1,heating_qc,gr_liv_area,full_bath,fireplace_qu,garage_area,wood_deck_sf,open_porch_sf,age_built,age_remod,total_sf,open_lot,common_lot,closed_lot,near_park,ms_zoning_RL,ms_zoning_RM,land_contour_HLS,roof_matl_WdShngl,exterior_1st_BrkFace,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_Plywood,exterior_1st_VinylSd,exterior_1st_Wd Sdng,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone,foundation_CBlock,foundation_Slab,heating_OthW,garage_type_Attchd,garage_type_BuiltIn,garage_type_Detchd,garage_type_NA,sale_type_New
34.0,5,0.0,3,1,0.0,2,1344,1,0,513.0,0,0,92,58,1968.0,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
80.0,5,0.0,3,1,651.0,3,1121,1,0,480.0,0,80,46,46,2242.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
71.0,6,148.0,3,1,0.0,5,1285,1,3,528.0,138,0,30,30,1945.0,False,True,False,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
72.0,7,0.0,4,2,24.0,5,1547,2,0,614.0,169,45,1,1,2303.0,False,True,False,False,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
109.0,5,0.0,4,1,492.0,4,894,1,1,450.0,0,0,39,39,1788.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
40.0,8,0.0,4,1,1158.0,5,1659,2,5,499.0,212,59,9,9,3160.0,False,True,False,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
103.0,8,0.0,5,3,0.0,5,2253,2,4,575.0,243,142,1,0,3462.0,False,True,False,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
69.05520046484602,6,0.0,4,1,935.0,5,1187,2,0,420.0,483,21,18,3,2355.0,False,True,False,False,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
100.0,5,0.0,3,2,1056.0,3,1056,1,0,572.0,264,0,51,51,2112.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
92.0,6,3.0,3,1,1312.0,5,1453,2,3,530.0,0,49,48,48,2906.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
65.0,5,0.0,3,1,553.0,5,894,1,4,336.0,416,144,45,1,1788.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
69.05520046484602,5,0.0,3,1,606.0,5,1938,2,4,240.0,0,40,71,13,2880.0,False,True,False,False,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
75.0,5,0.0,3,1,0.0,2,1991,2,0,0.0,0,0,112,1,2948.0,False,True,False,False,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
60.0,5,0.0,3,2,0.0,5,924,1,1,576.0,0,0,58,1,1596.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
80.0,8,0.0,4,1,1104.0,3,2524,2,4,542.0,474,120,28,28,5048.0,False,True,False,False,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
69.05520046484602,8,0.0,4,1,0.0,2,1517,1,4,400.0,0,0,77,56,2309.0,False,True,False,False,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30.0,8,0.0,4,3,437.0,5,1494,1,4,481.0,0,30,11,10,2988.0,False,False,True,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
60.0,6,0.0,3,1,441.0,3,948,1,0,410.0,0,48,55,55,1896.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
79.0,8,336.0,5,4,1288.0,5,1718,2,4,826.0,208,44,2,1,3423.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
80.0,6,82.0,4,4,0.0,2,1142,1,4,384.0,0,28,51,51,1302.0,False,True,False,False,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
41.0,5,0.0,3,1,548.0,5,1475,2,3,336.0,104,26,29,29,2232.0,False,True,False,False,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
105.0,6,480.0,4,1,705.0,5,1844,2,3,546.0,0,122,33,33,3688.0,False,True,False,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
80.0,7,320.0,3,1,916.0,2,1242,1,3,528.0,0,0,34,34,2484.0,False,True,False,False,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
60.0,5,0.0,4,1,420.0,5,990,1,0,384.0,256,0,13,13,1980.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
75.0,5,0.0,3,1,830.0,4,1256,1,0,276.0,736,68,43,43,2512.0,False,True,False,False,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
107.0,10,0.0,5,4,1386.0,5,2076,2,4,850.0,216,229,0,0,4152.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
69.05520046484602,5,104.0,4,3,1097.0,5,1110,1,3,602.0,303,30,31,31,2207.0,False,True,False,False,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
81.0,5,335.0,3,1,0.0,5,1795,2,0,352.0,0,0,54,54,2845.0,False,True,False,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
70.0,5,0.0,3,1,906.0,5,1040,1,0,384.0,0,0,43,43,2080.0,False,True,False,False,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
100.0,8,40.0,3,1,210.0,3,1873,1,4,786.0,0,0,73,58,2481.0,False,True,False,False,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
60.0,5,0.0,3,1,408.0,5,1604,2,0,660.0,0,68,68,49,2588.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
60.0,7,0.0,4,1,0.0,3,1502,1,4,270.0,0,0,77,8,2278.0,False,True,False,False,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
80.0,5,110.0,3,1,354.0,3,1063,1,0,280.0,0,0,56,56,2119.0,False,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
36.0,7,106.0,4,1,0.0,5,1626,2,0,474.0,0,27,5,4,2390.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
69.05520046484602,6,513.0,4,1,353.0,5,1524,2,0,440.0,0,32,6,6,2280.0,False,True,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
65.0,4,0.0,3,1,622.0,3,1981,2,3,576.0,431,44,81,59,3103.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
80.0,7,184.0,4,1,790.0,3,2784,3,3,564.0,0,112,28,28,4176.0,False,True,False,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
21.0,4,0.0,3,1,176.0,5,1092,1,0,0.0,200,26,40,40,1638.0,False,True,False,False,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
75.0,6,522.0,3,1,0.0,3,1575,1,4,400.0,0,0,55,55,1791.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
80.0,6,143.0,3,1,371.0,3,1352,1,0,299.0,379,36,41,41,2015.0,False,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
24.0,7,0.0,4,1,368.0,5,1200,2,0,480.0,0,172,6,5,1800.0,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
82.0,5,0.0,3,1,486.0,3,936,1,0,240.0,0,0,52,31,1872.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
68.0,6,0.0,3,1,85.0,3,1040,1,0,293.0,0,0,54,54,2080.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
69.05520046484602,6,0.0,4,1,138.0,4,1636,2,3,386.0,168,84,12,12,2552.0,False,True,False,False,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
92.0,8,348.0,4,1,524.0,5,2270,2,4,671.0,132,57,11,3,3422.0,False,False,True,False,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
75.0,8,0.0,4,3,64.0,5,2610,2,4,550.0,208,364,0,0,3794.0,False,True,False,False,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
69.05520046484602,7,0.0,4,4,1092.0,4,1483,1,3,690.0,496,0,33,9,2903.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
81.0,5,0.0,3,1,360.0,4,1740,1,4,225.0,0,0,88,58,2676.0,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70.0,5,0.0,3,1,172.0,4,1382,1,0,350.0,280,0,54,54,2764.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
70.0,5,0.0,4,1,206.0,5,1120,1,0,0.0,0,30,0,0,2240.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
63.0,7,0.0,4,1,246.0,3,1098,1,4,216.0,0,0,77,12,1629.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
32.0,7,117.0,4,1,0.0,5,1708,2,0,380.0,0,40,2,2,2684.0,False,True,False,False,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
94.0,9,510.0,5,4,0.0,5,1802,2,4,843.0,158,105,1,1,3604.0,False,True,False,False,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
43.0,7,145.0,4,4,16.0,5,1506,2,4,440.0,142,20,1,1,2868.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
44.0,7,96.0,4,4,1346.0,5,1508,1,3,572.0,0,0,1,0,3016.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
69.05520046484602,7,668.0,5,2,700.0,5,2032,3,0,786.0,0,46,12,11,3872.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
79.0,6,0.0,3,2,655.0,5,1194,1,2,539.0,0,0,47,47,1849.0,False,True,False,False,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
24.0,7,50.0,4,1,0.0,5,1709,2,0,380.0,0,40,2,2,2679.0,False,True,False,False,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
73.0,7,228.0,4,3,0.0,5,1616,2,0,834.0,208,59,1,1,3232.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
69.05520046484602,6,0.0,3,1,0.0,3,768,1,0,440.0,0,0,78,58,1536.0,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
69.05520046484602,5,65.0,3,1,0.0,2,872,1,4,322.0,0,0,82,56,1744.0,False,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
60.0,4,0.0,3,1,0.0,2,520,1,0,240.0,49,0,81,58,1040.0,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
80.0,5,361.0,3,1,443.0,3,2274,2,0,480.0,0,0,50,50,3379.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
50.0,5,0.0,3,1,0.0,5,1601,2,0,0.0,0,0,82,4,2537.0,False,True,False,False,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
35.0,5,0.0,3,1,168.0,5,1232,1,0,480.0,280,0,97,57,1848.0,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
63.0,9,748.0,5,1,1904.0,5,2234,2,4,1166.0,0,60,1,0,4450.0,False,False,True,False,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
100.0,5,0.0,3,2,0.0,4,1416,1,4,720.0,418,0,93,58,2292.0,False,True,False,False,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
60.0,4,0.0,3,1,240.0,4,864,1,0,576.0,200,0,38,3,1728.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
32.0,6,197.0,5,1,864.0,5,1189,2,0,392.0,0,122,11,11,2378.0,False,True,False,False,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
48.0,9,572.0,5,1,415.0,5,1666,2,4,575.0,228,75,0,0,3332.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
67.0,7,0.0,4,1,833.0,5,1200,2,0,555.0,0,41,6,6,2376.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
70.0,5,0.0,4,1,377.0,3,928,1,0,252.0,261,0,51,7,1856.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
80.0,5,128.0,4,2,553.0,3,1336,2,2,502.0,312,11,40,40,2624.0,False,True,False,False,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
30.0,7,120.0,4,3,280.0,5,1200,2,0,480.0,0,172,6,6,1800.0,False,True,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69.05520046484602,6,0.0,3,3,828.0,4,1427,2,0,516.0,0,0,39,39,2854.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
69.05520046484602,7,254.0,4,2,762.0,5,1992,2,3,608.0,225,32,11,5,2852.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
70.0,7,0.0,4,1,36.0,5,1540,2,0,495.0,140,32,15,15,2294.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
64.0,5,0.0,0,0,0.0,3,1535,2,0,400.0,0,0,30,30,1535.0,False,True,False,False,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
69.05520046484602,5,86.0,3,3,1014.0,3,1152,1,4,484.0,227,0,46,46,2304.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
80.0,8,30.0,4,1,60.0,5,1151,2,0,484.0,0,60,1,0,2292.0,False,True,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
88.0,6,54.0,3,3,588.0,5,1138,1,3,480.0,0,0,49,49,2276.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
74.0,5,0.0,3,1,438.0,4,1074,1,4,396.0,0,72,51,51,1968.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
60.0,9,246.0,5,1,1153.0,5,1561,2,4,556.0,203,47,2,2,3122.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
83.0,8,397.0,4,1,527.0,5,2726,2,5,725.0,307,169,11,11,4068.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
53.0,9,296.0,5,4,1337.0,5,1884,2,4,670.0,214,76,4,4,3768.0,False,False,True,False,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
58.0,4,0.0,3,2,348.0,5,605,1,0,0.0,0,0,87,5,1133.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
103.0,8,0.0,4,2,1044.0,5,1671,3,4,550.0,280,90,32,1,3097.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
72.0,3,0.0,2,1,0.0,3,797,1,0,0.0,0,36,109,59,1042.0,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
71.0,6,0.0,5,1,690.0,5,1961,2,3,560.0,125,192,8,7,2765.0,False,False,True,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
79.0,5,144.0,4,1,962.0,5,1193,2,0,501.0,140,153,34,34,2346.0,False,True,False,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
69.05520046484602,7,0.0,4,1,641.0,5,1382,2,0,490.0,153,50,6,6,2055.0,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60.0,6,0.0,3,1,168.0,3,2526,2,4,216.0,88,15,91,57,3240.0,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
69.05520046484602,6,902.0,4,4,1110.0,5,1390,1,4,550.0,0,189,49,49,3095.0,False,False,True,False,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
36.0,7,106.0,4,1,0.0,5,1626,2,0,474.0,0,27,7,7,2390.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
57.0,5,0.0,3,1,421.0,3,1558,1,4,400.0,0,36,70,59,2248.0,False,True,False,False,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
69.05520046484602,5,0.0,3,1,0.0,3,1422,1,3,286.0,0,0,47,29,2400.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
52.0,5,0.0,3,1,0.0,3,1573,2,4,360.0,0,0,78,16,2651.0,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
87.0,6,261.0,3,1,0.0,3,1116,1,0,440.0,0,0,48,48,2232.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
69.05520046484602,2,0.0,0,0,0.0,2,660,1,0,0.0,0,0,62,59,660.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
80.0,6,144.0,3,1,832.0,4,1707,2,3,479.0,0,0,31,11,2847.0,False,True,False,False,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
134.0,5,132.0,3,1,176.0,3,1466,1,4,528.0,0,140,47,47,2932.0,False,True,False,False,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
69.05520046484602,9,260.0,4,3,1027.0,5,1638,2,3,495.0,230,68,8,8,3252.0,False,True,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
69.05520046484602,5,275.0,3,2,988.0,4,1721,2,3,626.0,50,84,48,48,2709.0,False,True,False,False,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
65.0,6,0.0,4,1,821.0,5,1764,2,0,470.0,276,99,12,12,2692.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
63.0,5,0.0,3,1,290.0,5,996,1,4,0.0,144,0,68,39,1992.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
70.0,5,0.0,3,1,435.0,3,1202,1,0,304.0,0,35,53,53,2404.0,False,True,False,False,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
69.05520046484602,5,57.0,3,1,827.0,3,988,1,0,572.0,0,0,46,46,1976.0,False,True,False,False,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
56.0,5,0.0,3,1,0.0,4,1028,1,4,360.0,0,0,83,60,2036.0,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
50.0,5,0.0,3,1,312.0,3,1284,1,0,240.0,0,35,62,59,2004.0,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
69.05520046484602,9,1050.0,4,1,410.0,3,2944,2,4,864.0,140,70,31,31,3938.0,False,False,True,False,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
74.0,8,0.0,5,3,0.0,5,1414,2,4,403.0,100,35,2,2,2121.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
70.0,7,0.0,3,1,0.0,5,1609,1,4,579.0,0,0,74,16,2246.0,False,True,False,False,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
60.0,6,0.0,3,1,700.0,5,1525,2,3,400.0,421,72,9,8,2338.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
75.0,5,0.0,4,2,257.0,5,1656,1,1,288.0,0,180,41,41,2280.0,False,True,False,False,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
24.0,7,0.0,4,1,378.0,2,1055,2,0,440.0,0,38,31,31,2110.0,False,True,False,False,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
60.0,5,0.0,3,1,0.0,5,1352,2,0,720.0,187,0,70,3,2028.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
24.0,6,0.0,4,1,389.0,3,1456,2,3,440.0,0,28,32,32,2311.0,False,True,False,False,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
32.0,8,0.0,4,4,1619.0,5,1719,1,4,473.0,122,30,15,15,3438.0,False,False,True,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
67.0,5,0.0,3,1,468.0,3,864,1,0,0.0,0,0,83,58,1728.0,False,True,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
21.0,6,359.0,3,1,458.0,3,987,1,0,264.0,52,0,35,35,1470.0,False,True,False,False,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
54.0,5,0.0,3,1,0.0,4,1020,1,0,0.0,0,0,135,14,1800.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
34.0,8,108.0,4,2,24.0,5,1554,2,4,627.0,156,73,1,1,3108.0,False,True,False,False,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
60.0,10,662.0,5,4,0.0,5,3390,3,5,758.0,204,34,0,0,4918.0,False,False,True,False,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
60.0,6,0.0,3,1,0.0,5,1560,1,0,0.0,344,0,98,1,2340.0,False,True,False,False,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
